file_path,filename,extension,width,height,file_hash,detected_or_associated_character,image_type,confidence,notes
Bible and other files/Static/Gemini_Generated_Image_9e1app9e1app9e1a.png,Gemini_Generated_Image_9e1app9e1app9e1a.png,png,864,1184,2dd5c7c1b442e52d8ec462f41a8aed8476162a75ef79fe27d3336a86cf7731cd,static,published_or_layout_page,medium,
Bible and other files/Static/Gemini_Generated_Image_easutreasutreasu.png,Gemini_Generated_Image_easutreasutreasu.png,png,864,1184,347e0d17aaf43568724fae252472d9d9c77206621f3d25e93dd40e085c5351da,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_engv21engv21engv.png,Gemini_Generated_Image_engv21engv21engv.png,png,864,1184,c4fe64bbe4ecdf67ac6c9d570aefa67a50e6e0a7e2ae0e817627280f405c9848,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_ezkd3gezkd3gezkd.png,Gemini_Generated_Image_ezkd3gezkd3gezkd.png,png,864,1184,669fe7d8d11747984ac12cd93564d96940b5708a0125b5c56646d578eb9dce90,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_gjkdtkgjkdtkgjkd.png,Gemini_Generated_Image_gjkdtkgjkdtkgjkd.png,png,864,1184,bfff22a1cac2904bd34ed83730a0970086968b0e159579ba213883b55f038785,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_ih1nttih1nttih1n.png,Gemini_Generated_Image_ih1nttih1nttih1n.png,png,864,1184,703c8e7cb38cb9508bbefb66e913709dfb9a12e1a01f8ec251793fdd6e81e155,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_p9ece4p9ece4p9ec.png,Gemini_Generated_Image_p9ece4p9ece4p9ec.png,png,864,1184,b5a3c41fc120c003840427df45cfd8b91c2a66fd6671ec17c7c975e3763f5b89,static,published_or_layout_page,medium,
Bible and other files/Static/Gemini_Generated_Image_pgd0pipgd0pipgd0.png,Gemini_Generated_Image_pgd0pipgd0pipgd0.png,png,864,1184,e9ec8c7d4187e15bf83643893c87c48dd45796f962ba9ce8be6d4cbcfcbbc4d8,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_po7i0rpo7i0rpo7i.png,Gemini_Generated_Image_po7i0rpo7i0rpo7i.png,png,864,1184,918f0574a13a978d8afb88f1e6d426d4f67ea784434e5c0d4e77b466cb8d2b4b,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_sel1bhsel1bhsel1.png,Gemini_Generated_Image_sel1bhsel1bhsel1.png,png,864,1184,60b8e094975d8ca9ba62ae334406cfdbbe35490616a9420460418a2fcca78ce4,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_spgd1hspgd1hspgd.png,Gemini_Generated_Image_spgd1hspgd1hspgd.png,png,864,1184,b9b81d3925aa7a1431bdf75507eb2f422d5230821667a284e08b2d122a216e83,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_tlj9yrtlj9yrtlj9.png,Gemini_Generated_Image_tlj9yrtlj9yrtlj9.png,png,864,1184,13a4f193796c7bf28e0f5467f30675ddd54c03f419bedb00e160756eb070099f,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_vbzwctvbzwctvbzw.png,Gemini_Generated_Image_vbzwctvbzwctvbzw.png,png,864,1184,bab0e31a01b4a8dfa99ec248a58d41a39796a02f540419811c08a7dd05d9d90d,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_x0nsrdx0nsrdx0ns.png,Gemini_Generated_Image_x0nsrdx0nsrdx0ns.png,png,864,1184,5272f107ec249ade614c9bac95af0c656b51d639f0476990284b7baba92690b9,static,loose_character_art,medium,
Bible and other files/Static/Gemini_Generated_Image_x7f8rix7f8rix7f8.png,Gemini_Generated_Image_x7f8rix7f8rix7f8.png,png,864,1184,1dca8ca532898b48d519ea3121241c287a67047f9a9fc1c6a70af33c10661dbf,static,loose_character_art,medium,
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/exports/cover.png,cover.png,png,832,1248,f2d0a524730b485a76abd066331ff482f51f75044649374b114e5accb26902bf,unidentified,cover_or_social_asset,low,
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/exports/promo_images/variant_cover.png,variant_cover.png,png,832,1248,11819742dd878e05a26215b60127d1ba0f9b53aae9e80530c749662e55c36420,unidentified,cover_or_social_asset,low,
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/MZ-2026-07-MANGO_P01_PANEL01_v1.png,MZ-2026-07-MANGO_P01_PANEL01_v1.png,png,1280,720,8e0d3aff7b2beece1b90c4b8d30a30cf2755e608a9343788806ff3bd97e5a29d,unidentified,raw_comic_panel,low,exact duplicate group size 3
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/MZ-2026-07-MANGO_P02_PANEL01_v1.png,MZ-2026-07-MANGO_P02_PANEL01_v1.png,png,1024,1024,8403b6fcbe8a21e3341bf3c16593bdd31ef254880b183dd874c9cdef31ef1ad9,unidentified,raw_comic_panel,low,exact duplicate group size 3
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P01_PANEL01.png,MZ-2026-07-MANGO_P01_PANEL01.png,png,1280,720,8e0d3aff7b2beece1b90c4b8d30a30cf2755e608a9343788806ff3bd97e5a29d,unidentified,raw_comic_panel,low,exact duplicate group size 3
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P01_PANEL02.png,MZ-2026-07-MANGO_P01_PANEL02.png,png,1280,720,436c3a01c569226683087d43ec3b5172307d7e75754ed4de663bb48b05e42805,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P02_PANEL01.png,MZ-2026-07-MANGO_P02_PANEL01.png,png,1024,1024,8403b6fcbe8a21e3341bf3c16593bdd31ef254880b183dd874c9cdef31ef1ad9,unidentified,raw_comic_panel,low,exact duplicate group size 3
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P02_PANEL02.png,MZ-2026-07-MANGO_P02_PANEL02.png,png,880,1184,fec4fa9e3642360ed88db7567474cedbec659bb60ad678731306c41e08114a4b,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P02_PANEL03.png,MZ-2026-07-MANGO_P02_PANEL03.png,png,1024,1024,4e3f5a0b5f0e6fa8a038fac9bd86afc8a741f57a5c3179c01f41787099e23709,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P03_PANEL01.png,MZ-2026-07-MANGO_P03_PANEL01.png,png,1024,1024,ca181a3c955fd152eadaacf4aa76695ee8aeafbd2f7a084ae432229b6ac59137,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P03_PANEL02.png,MZ-2026-07-MANGO_P03_PANEL02.png,png,1024,1024,6156d0b5b15215b219c92abf956b261d629a206d6922e86b31529ec21c6185c1,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P03_PANEL03.png,MZ-2026-07-MANGO_P03_PANEL03.png,png,1024,1024,53a097ece6491b5da40da51564a7fb5a056c844b617961cff7575af18044553b,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P04_PANEL01.png,MZ-2026-07-MANGO_P04_PANEL01.png,png,1280,720,4bc30b4172a7c64ab69d57df463c4470ef3a3f55c41e14f2d3aed17670263436,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P04_PANEL02.png,MZ-2026-07-MANGO_P04_PANEL02.png,png,1280,720,f0d256513c5d352a06ee70b013ab11393ad6664c4a9e5e20778463e9afa3fdd2,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P05_PANEL01.png,MZ-2026-07-MANGO_P05_PANEL01.png,png,1024,1024,a6d8257069b1ff381c9bb197affbfb7b2989baa02bd0ef35970fe0ed46706ce3,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P05_PANEL02.png,MZ-2026-07-MANGO_P05_PANEL02.png,png,1024,1024,a9e49e9052387cd9fe852e20e582b4e1195b9987f59dee3c91fea7c1edac52e8,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P05_PANEL03.png,MZ-2026-07-MANGO_P05_PANEL03.png,png,1024,1024,1372708d166e7a70d5cf79312b3b612fbb19366ca4c741f70ca4607e4b42bc58,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P06_PANEL01.png,MZ-2026-07-MANGO_P06_PANEL01.png,png,880,1184,6e4d432a2dc29be191082a23f7b25ce34a725c69f7d8a4e3f932a35357684826,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P06_PANEL02.png,MZ-2026-07-MANGO_P06_PANEL02.png,png,1280,720,81cc8a2813ef6235ecdf88986016d872b769f67086bb7353c672e7fe415fd4e9,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P07_PANEL01.png,MZ-2026-07-MANGO_P07_PANEL01.png,png,1024,1024,9058329dda464f12b6bfabd2e0f81dd7df85886109d95be80edfe6102cc52fac,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P07_PANEL02.png,MZ-2026-07-MANGO_P07_PANEL02.png,png,1024,1024,fa3da2902c2837a278ada7083e62e24b04df6e1b2766854d0085a33a533b1c58,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P07_PANEL03.png,MZ-2026-07-MANGO_P07_PANEL03.png,png,1024,1024,2c7b6f0ec182e3ed49d6706e564ab5fbbf7a99d008f04b2b92dcb9b4c38da059,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P08_PANEL01.png,MZ-2026-07-MANGO_P08_PANEL01.png,png,1280,720,3c63b7b45c02fef820b9c6e9b3b3ffe4464f6491ace557f64ff8c38ffd55f178,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/raw_panels/v1_archive/MZ-2026-07-MANGO_P08_PANEL02.png,MZ-2026-07-MANGO_P08_PANEL02.png,png,1280,720,76cce6f718308bc6777a2cc2ddb2b2ebe2c26975ec18c5b12af47bb93db6ca84,unidentified,raw_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P01_PANEL01.png,MZ-2026-07-MANGO_P01_PANEL01.png,png,1280,720,8e0d3aff7b2beece1b90c4b8d30a30cf2755e608a9343788806ff3bd97e5a29d,unidentified,selected_comic_panel,low,exact duplicate group size 3
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P01_PANEL02.png,MZ-2026-07-MANGO_P01_PANEL02.png,png,1280,720,436c3a01c569226683087d43ec3b5172307d7e75754ed4de663bb48b05e42805,unidentified,selected_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P02_PANEL01.png,MZ-2026-07-MANGO_P02_PANEL01.png,png,1024,1024,8403b6fcbe8a21e3341bf3c16593bdd31ef254880b183dd874c9cdef31ef1ad9,unidentified,selected_comic_panel,low,exact duplicate group size 3
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P02_PANEL02.png,MZ-2026-07-MANGO_P02_PANEL02.png,png,880,1184,fec4fa9e3642360ed88db7567474cedbec659bb60ad678731306c41e08114a4b,unidentified,selected_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P02_PANEL03.png,MZ-2026-07-MANGO_P02_PANEL03.png,png,1024,1024,4e3f5a0b5f0e6fa8a038fac9bd86afc8a741f57a5c3179c01f41787099e23709,unidentified,selected_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P03_PANEL01.png,MZ-2026-07-MANGO_P03_PANEL01.png,png,1024,1024,ca181a3c955fd152eadaacf4aa76695ee8aeafbd2f7a084ae432229b6ac59137,unidentified,selected_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P03_PANEL02.png,MZ-2026-07-MANGO_P03_PANEL02.png,png,1024,1024,6156d0b5b15215b219c92abf956b261d629a206d6922e86b31529ec21c6185c1,unidentified,selected_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P03_PANEL03.png,MZ-2026-07-MANGO_P03_PANEL03.png,png,1024,1024,53a097ece6491b5da40da51564a7fb5a056c844b617961cff7575af18044553b,unidentified,selected_comic_panel,low,exact duplicate group size 2
MonkeyZoo_Comic_Factory/02_MONTHLY_ISSUES/2026-07_Mango_Pier/generated_art/selected_panels/MZ-2026-07-MANGO_P04_PANEL01.png,MZ-2026-07-MANGO_P04_PANEL01.png,png,1280,720,4bc30b4172a7c64ab69d57df463c4470ef3a3f55c41e14f2d3aed17670263436,unidentified,selected_comic_panel,low,exact duplicate group size 2
